"Name","Surname","Gender","DoB","Faculty","UG.PG","FakePhone","FakeID","Age"
"Amiya","Hobbs","F",2003-07-12,2,"UG","(553) 861-3339",51024602,21
"Madalyn","Hodges","F",2004-01-16,2,"UG","(640) 517-0350",37430165,21
"Bradyn","Odonnell","M",1990-02-05,1,"UG","(962) 841-5782",42929776,35
"Mariyah","Bartlett","F",1967-08-28,5,"UG","(427) 685-7251",44449325,57
"Chanel","Townsend","F",2002-08-24,7,"UG","(984) 489-9633",51046682,22
"Finnegan","Mosley","M",2005-11-26,3,"UG","(621) 969-8942",40791027,19
"Rowan","Carpenter","F",2002-10-16,3,"UG","(931) 756-0854",33285785,22
"Bailey","Richards","F",1994-11-06,5,"UG","(358) 677-4828",38331030,30
"Weston","Atkinson","M",2004-09-13,5,"UG","(540) 580-6261",48958316,20
"Malia","Harrell","F",2002-11-04,1,"UG","(202) 463-6577",34852082,22
"Arnav","Deleon","M",2005-11-04,5,"UG","(415) 668-0455",46673815,19
"Madalyn","Shepard","F",2004-07-31,8,"UG","(442) 550-0536",45374240,20
"Van","Vargas","M",2000-08-21,10,"UG","(810) 655-4561",49803488,24
"Colin","Butler","M",2003-10-24,7,"UG","(277) 382-4663",46219872,21
"Craig","Kaufman","M",1968-01-28,3,"PG","(325) 247-1866",46322744,57
"Abby","Nicholson","F",2002-05-13,1,"UG","(749) 341-6886",38747546,23
"Nathaniel","Higgins","M",2000-11-04,5,"UG","(651) 530-2219",41420586,24
"Valeria","Riggs","F",2003-04-21,6,"UG","(213) 669-9169",50617567,22
"Deja","Rice","F",1979-05-16,4,"PG","(946) 622-2234",38684147,46
"Lilly","Bolton","F",1977-04-15,5,"PG","(939) 879-3959",33400468,48
"Brock","Gilbert","M",2000-08-13,3,"UG","(507) 234-1102",33413934,24
"Kody","Gates","M",2000-11-22,4,"UG","(866) 932-3324",34762067,24
"Kiersten","Gonzales","",2003-02-04,5,"UG","(224) 412-7745",41320189,22
"Chana","Le","F",2000-04-18,1,"UG","(396) 548-1148",39203051,25
"Cason","Castaneda","M",2003-06-16,6,"UG","",42044865,21
"Harper","Mccall","M",2005-05-06,4,"UG","(741) 968-5241",33295993,20
"Davian","Spears","M",2005-09-19,4,"UG","(416) 306-2014",41177275,19
"Leticia","Stewart","F",2005-09-18,2,"UG","(295) 340-1146",47574102,19
"Kaya","Gould","F",2001-06-17,1,"UG","(893) 990-0792",42735833,23
"Camilla","Garcia","F",2005-11-21,10,"UG","(629) 675-5596",37156730,19
"Myla","Sharp","F",1982-02-20,10,"PG","(374) 779-1458",43616837,43
"Kailyn","Mcintyre","F",1978-02-27,6,"UG","(773) 416-1977",44517112,47
"Brennen","Schmidt","M",1983-12-25,6,"PG","(237) 324-4504",49783835,41
"Konner","Hahn","M",2003-02-14,3,"UG","(393) 415-3313",32881326,22
"Santiago","Gross","M",2003-10-10,4,"UG","(733) 592-5148",42162778,21
"Bella","Weeks","F",2000-07-20,7,"UG","(693) 979-4401",NA,24
"Marely","Greene","F",2000-10-22,10,"UG","(988) 372-0666",33619717,24
"Kason","Lloyd","M",2003-06-20,4,"UG","(951) 796-2606",34617767,21
"Lea","Esparza","F",2004-05-18,7,"UG","(506) 764-0731",41602180,21
"Chace","Waters","M",2000-12-27,10,"UG","(374) 728-1479",41229425,24
"Raelynn","Wyatt","F",2004-04-24,5,"UG","(576) 283-6150",46897395,21
"Niko","Bowen","M",2000-04-01,7,"UG","(780) 375-6375",49159901,25
"Cecilia","Beltran","F",1962-07-04,5,"UG","(533) 309-0825",39687020,62
"Lila","Odonnell","F",2001-06-24,6,"UG","(717) 507-8099",34934412,23
"Jean","Horn","M",2002-01-14,4,"UG","(415) 429-8850",43030061,23
"Rory","Roach","M",2005-08-26,3,"UG","(531) 912-7776",44943847,19
"Cade","Forbes","M",2001-11-24,10,"UG","(443) 446-2908",45904770,23
"Sterling","Francis","M",2003-11-05,5,"UG","(892) 876-0093",42171104,21
"Simeon","Campbell","M",1999-10-10,1,"UG","(295) 647-5183",38155599,25
"Aidan","Crawford","M",2004-05-03,10,"UG","(709) 979-8825",47206411,21
"Marianna","Flowers","F",1964-04-30,3,"PG","(682) 665-1519",47615631,61
"Max","Sawyer","M",1969-07-29,8,"PG","(559) 239-1862",34301472,55
"Azaria","Forbes","F",1972-11-26,7,"UG","(873) 486-3442",39260259,52
"Kamari","Hampton","F",1986-05-14,2,"UG","(378) 561-0877",45409317,39
"Ray","Burns","M",1967-09-27,1,"PG","(354) 266-9322",46622172,57
"Emerson","Simmons","F",1961-05-17,4,"PG","(745) 412-0233",41149060,64
"Kinsley","Robbins","F",2001-08-06,5,"UG","(976) 655-8344",47447857,23
"Kirsten","Horn","F",1972-08-02,2,"PG","(756) 820-4648",45467229,52
"Mckinley","Gould","F",2001-03-12,3,"UG","(805) 828-4148",36100000,24
"Tyrone","Camacho","M",1993-02-16,7,"UG","(406) 637-1652",47358390,32
"Denisse","Chapman","F",2006-01-21,8,"UG","(740) 701-0124",41713653,19
"Howard","Mack","M",2005-03-23,3,"UG","(873) 886-8311",42809998,20
"Roberto","Estrada","M",2005-12-24,4,"UG","(467) 433-4391",39658485,19
"Jaylen","Wolf","F",1980-12-19,5,"PG","(885) 734-6996",32602061,44
"Amani","Carpenter","F",1992-02-05,3,"PG","",43133969,33
"Karley","Baird","F",2001-07-01,3,"UG","(203) 787-2244",36529020,23
"Evangeline","Huerta","F",2005-01-04,5,"UG","(275) 232-5810",35065596,20
"Gilbert","Patterson","M",2003-05-25,4,"UG","(903) 337-6823",50892225,22
"Cale","Holloway","",2001-08-31,6,"UG","(322) 242-8051",40742940,23
"Francesca","Blair","F",2005-07-13,8,"UG","(242) 649-8546",48974410,19
"Jadyn","Weiss","M",2002-08-09,7,"UG","(590) 630-8188",45582368,22
"Maximillian","Mathews","M",2001-06-14,4,"UG","(393) 869-2729",37980788,23
"Tucker","Ortiz","M",2003-10-24,10,"UG","(342) 519-1480",41274804,21
"Kaeden","Guzman","M",2003-07-05,4,"UG","(369) 695-1455",38005688,21
"Cassidy","Walker","F",1976-01-02,1,"PG","(230) 991-7041",36334776,49
"Sandra","Mahoney","F",2001-03-20,1,"UG","(807) 903-0866",40952399,24
"Giovanna","Peters","F",1986-09-12,4,"PG","(810) 351-0731",45649669,38
"Aden","Lane","M",2001-02-22,10,"UG","(694) 270-6798",45539376,24
"Catherine","Malone","F",2002-08-02,1,"UG","(609) 302-1555",40888427,22
"Justus","Church","M",2002-01-30,1,"UG","(433) 511-8555",37463729,23
"Sheldon","Rocha","M",1988-10-16,8,"UG","(464) 759-4262",43032479,36
"Brice","Hughes","M",1993-12-28,1,"PG","(205) 588-5139",34618293,31
"Arielle","Ryan","F",1999-12-21,5,"UG","(357) 792-0068",41180650,25
"Greyson","Sanchez","M",2002-07-30,8,"UG","(254) 276-7656",40223214,22
"Carolyn","Solomon","F",2002-07-25,5,"UG","(516) 725-2805",33395356,22
"Alana","Page","F",2001-03-25,3,"UG","(336) 390-3814",49679609,24
"Kiana","Robbins","F",1979-02-10,2,"PG","(597) 359-0921",32672870,46
"Jamar","Rogers","M",1995-03-09,3,"PG","(321) 942-6577",37510331,30
"Amiah","Braun","F",2003-11-21,5,"UG","(923) 837-1401",43447076,21
"Ernest","Tapia","M",2003-05-26,5,"UG","(535) 233-4630",42174421,22
"Javier","Krause","M",1973-08-29,2,"PG","(258) 573-9189",42253144,51
"Leticia","Hayden","F",2005-12-24,10,"UG","(408) 641-6370",44059714,19
"Kamila","Ritter","F",2000-09-28,5,"UG","(288) 279-5631",37912369,24
"Chase","Huffman","M",2004-04-14,10,"UG","(320) 344-9899",36158920,21
"Jayda","Snyder","",1999-12-12,1,"UG","(767) 273-3264",46626598,25
"Kade","Alvarado","M",2000-08-20,6,"UG","(382) 247-9232",36298841,24
"Brendan","Grant","M",2000-09-14,4,"UG","(884) 240-0153",39142344,24
"Kaiden","Patton","M",2000-04-25,1,"UG","(705) 542-5985",42904000,25
"Beckham","Duncan","M",1966-11-02,3,"PG","(852) 681-3723",48094650,58
